824401440495632414,34
749465698828288051,356
845829496254890004,60
786767356734603304,233
270904126974590976,172
848996837017124904,1
848996929949139045,1
848996993975976006,1
848997533475930122,1
844746411429986314,547
837842448713646100,7
847499112655487019,15
786770298707902496,22
792810653562830848,71
159985870458322944,25
817858871388799026,1
792813249955233803,7
854676523679875083,6
854688523797266462,26
304884040501166080,7
822395832396546068,46
282859044593598464,3
825499706724843573,1
302050872383242240,1
531023741879058442,117
600834965571371037,4
532571584976650242,7
798233411248324608,3
768084618049617921,93
832710143106875392,2
356065937318871041,76
292953664492929025,43
575252669443211264,1
749866857544286248,1
306583221565521921,1
768107556987207680,43
235088799074484224,14
429457053791158281,13
834393356087853096,13
780019344511336518,17
830504593800167434,30
768165238453305414,33
833490347018944522,2
437808476106784770,1
704130818339242094,4
844924592845619220,25
571027211407196161,4
508292361663676417,16
394019914157129728,2
716390085896962058,5
454564411596865537,1
845828530033000488,60
853374057738666034,13
852296336840720495,15
848028777635250196,8
717324765219782686,1
855292219841052694,4
734801580548685884,1
635610722994356275,2
752067809214857298,1
731915297275117648,1
657776310491545620,1
553788445282009098,21
476303446547365891,11
490707751832649738,17
841685599794626590,17
829226574821589022,18
501949394774523904,17
822981583832612904,17
235148962103951360,10
835358956167102494,3
709858576998596732,17
418823684459855882,17
676424357169594371,21
458364885055700992,17
838062574963523644,17
835666830059241513,17
559426966151757824,17
836545336239456306,21
603541055530598400,17
845318237192716359,43
275270122082533378,17
845941238460973056,1
791593765940625450,17
707096576128057364,19
841204062949998603,1
844446742425894942,17
823679571425230888,13
840579144525021185,1
842697209158172683,17
841381111401283584,2
829673443536142398,6
846474415646572554,3
841751462069796914,1
784851074472345633,1
847157049691209759,1
